member_user_name,group_id
nathan.lee,1
nathan.lee,2
nathan.lee,3
william.harris,1
william.harris,2
william.harris,3
william.harris,4
william.harris,5
ava.cooper,3
ava.cooper,4
ava.cooper,5
ava.cooper,6
ava.cooper,7
daniel.ramirez,5
daniel.ramirez,6
daniel.ramirez,7
daniel.ramirez,8
daniel.ramirez,9
ella.nelson,7
ella.nelson,8
ella.nelson,9
ella.nelson,10
ella.nelson,11
dylan.mitchell,9
dylan.mitchell,10
dylan.mitchell,11
dylan.mitchell,12
dylan.mitchell,13
grace.jenkins,11
grace.jenkins,12
grace.jenkins,13
grace.jenkins,14
grace.jenkins,15
jacob.carter,13
jacob.carter,14
jacob.carter,15
jacob.carter,16
jacob.carter,17
isabella.phillips,15
isabella.phillips,16
isabella.phillips,17
isabella.phillips,18
isabella.phillips,19
ava.brooks,17
ava.brooks,18
ava.brooks,19
ava.brooks,20
ava.brooks,1
oliver.cooper,19
oliver.cooper,20
oliver.cooper,1
oliver.cooper,2
oliver.cooper,3
mia.hughes,1
mia.hughes,2
mia.hughes,3
mia.hughes,4
mia.hughes,5
lucas.roberts,3
lucas.roberts,4
lucas.roberts,5
lucas.roberts,6
lucas.roberts,7
amelia.cook,5
amelia.cook,6
amelia.cook,7
amelia.cook,8
amelia.cook,9
ethan.foster,7
ethan.foster,8
ethan.foster,9
ethan.foster,10
ethan.foster,11
ava.richards,9
ava.richards,10
ava.richards,11
ava.richards,12
ava.richards,13
emma.perry,11
emma.perry,12
emma.perry,13
emma.perry,14
emma.perry,15
liam.jenkins,13
liam.jenkins,14
liam.jenkins,15
liam.jenkins,16
liam.jenkins,17
olivia.bailey,15
olivia.bailey,16
olivia.bailey,17
olivia.bailey,18
olivia.bailey,19
noah.kelly,17
noah.kelly,18
noah.kelly,19
noah.kelly,20
noah.kelly,1
isabella.ward,19
isabella.ward,20
isabella.ward,1
isabella.ward,2
isabella.ward,3
jacob.ross,1
jacob.ross,2
jacob.ross,3
jacob.ross,4
jacob.ross,5
ethan.murphy,5
ethan.murphy,6
ethan.murphy,7
ethan.murphy,8
ethan.murphy,9
ava.nelson,7
ava.nelson,8
ava.nelson,9
ava.nelson,10
ava.nelson,11
oliver.watson,9
oliver.watson,10
oliver.watson,11
oliver.watson,12
oliver.watson,13
emma.sullivan,11
emma.sullivan,12
emma.sullivan,13
emma.sullivan,14
emma.sullivan,15
liam.watson,13
liam.watson,14
liam.watson,15
liam.watson,16
liam.watson,17
olivia.cooper,15
olivia.cooper,16
olivia.cooper,17
olivia.cooper,18
olivia.cooper,19
noah.parker,17
noah.parker,18
noah.parker,19
noah.parker,20
noah.parker,1
jacob.bailey,19
jacob.bailey,20
jacob.bailey,1
jacob.bailey,2
jacob.bailey,3
ethan.ramirez,1
ethan.ramirez,2
ethan.ramirez,3
ethan.ramirez,4
ethan.ramirez,5
